Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Madrak,Faaliat,T.shaghel,n.t.s,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
10001000511,0,4,1,47,1,2,6,1,1,1,4,95,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,9524000,NA,4490000,7935000,3890000,NA,540000,362000,80000,NA,5375000,300000000,NA,NA,21840000
10001000514,0,4,1,36,1,2,5,1,1,1,3,55,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,13577000,NA,13950000,6765000,4190000,250000,450000,470000,900000,400000,1245000,341320000,NA,NA,21840000
10001000517,0,3,1,45,1,2,5,1,1,4,3,68,3,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,17980000,NA,2050000,1530000,3440000,6820000,990000,297000,NA,350000,1118000,299280000,NA,NA,16380000
10001000520,0,2,1,25,1,2,4,1,1,3,3,60,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,8068000,NA,1300000,6160000,1815000,NA,660000,280000,250000,300000,1130000,NA,240000000,NA,10920000
10001000609,0,3,1,53,1,2,2,3,NA,1,3,97,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,9800000,NA,400000,5185000,960000,2150000,1050000,400000,NA,250000,1590000,NA,NA,346000000,10920000
10001000612,0,2,1,70,1,2,1,3,NA,1,3,107,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,10112000,NA,700000,4425000,770000,470000,700000,350000,NA,200000,390000,NA,NA,291000000,10920000
10001000613,0,1,2,72,2,NA,NA,3,NA,1,3,105,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,5520000,NA,NA,5007000,487000,1615000,80000,200000,NA,NA,215000,NA,NA,226000000,5460000
10001000615,0,2,1,52,1,2,3,3,NA,1,3,105,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,7837000,NA,780000,4848000,1130000,260000,160000,340000,NA,200000,560000,NA,NA,334000000,16380000
10001000620,0,4,1,36,1,2,2,1,2,3,3,100,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,10773500,NA,4600000,8310000,1415000,475000,250000,600000,120000,700000,800000,473640000,NA,NA,21840000
10001000623,0,2,1,58,1,2,3,3,NA,1,3,112,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,11122000,NA,1150000,5062000,1020000,700000,1200000,500000,NA,340000,430000,NA,NA,322000000,10920000
